title,video_id,url,published_at
"Michael Jackson - Leave Me Alone (Official Video)",crbFmpezO4A,https://www.youtube.com/watch?v=crbFmpezO4A,2009-10-03T04:49:13Z
"Michael Jackson - She's Out of My Life (Official Video - Upscaled)",6DQJPL9Yuq0,https://www.youtube.com/watch?v=6DQJPL9Yuq0,2009-10-03T04:48:39Z
"Michael Jackson - The Way You Make Me Feel (Official Video)",HzZ_urpj4As,https://www.youtube.com/watch?v=HzZ_urpj4As,2009-10-03T04:48:18Z
"Michael Jackson - Will You Be There (Official Video - Upscaled)",jQY_QL_wvQU,https://www.youtube.com/watch?v=jQY_QL_wvQU,2009-10-03T04:46:57Z
"Michael Jackson - Gone Too Soon (Official Video)",IcNamirwTaY,https://www.youtube.com/watch?v=IcNamirwTaY,2009-10-03T04:46:40Z
"Michael Jackson - Earth Song (Official Video)",XAi3VTSdTxU,https://www.youtube.com/watch?v=XAi3VTSdTxU,2009-10-03T04:46:05Z
"Michael Jackson - Give In To Me (Official Video - Upscaled)",LJ7qXHjxj_0,https://www.youtube.com/watch?v=LJ7qXHjxj_0,2009-10-03T04:45:51Z
"Michael Jackson - Smooth Criminal (Official Video - Shortened Version)",sFvENQBc-F8,https://www.youtube.com/watch?v=sFvENQBc-F8,2009-10-03T04:45:12Z
"Michael Jackson, Janet Jackson - Scream (Official Video)",0P4A1K4lXDo,https://www.youtube.com/watch?v=0P4A1K4lXDo,2009-10-03T04:44:12Z
"Michael Jackson - Billie Jean (Official Video)",Zi_XLOBDo_Y,https://www.youtube.com/watch?v=Zi_XLOBDo_Y,2009-10-03T04:44:09Z
"Michael Jackson - Rock With You (Official Video - Upscaled)",5X-Mrc2l1d0,https://www.youtube.com/watch?v=5X-Mrc2l1d0,2009-10-03T04:41:55Z
